"cpg","logFC","P.Value"
"cg00645010",-0.00894587317883685,0.00197059388653258
"cg17436295",0.00383341650706656,0.105033249203138
"cg19642727",0.00137356555244316,0.312943466407001
"cg22699361",0.00125312047442434,0.573379943474923
"cg13806162",0.000139448228599186,0.860703703826475
"cg07390924",0.00408194680023715,0.00130098525675489
"cg10381813",-0.00722592760103679,0.0504941125062314
"cg05095110",9.93032141603934e-05,0.860586553288697
"cg27430493",0.00116570371965194,0.305349286353419
"cg10176463",0.000578552267825432,0.410736522133276
"cg13219080",0.00107897191804831,0.313718330561252
"cg08067365",0.000228712175057308,0.38189932430422
"cg27541454",0.000507954648850463,0.0626741426107031
"cg09123721",0.00385472071483653,0.289594389239278
"cg26614117",0.00458735731797871,0.178171383584106
"cg16095440",0.000146278042344742,0.419499331487249
"cg01518906",0.00810031399923521,0.00978863612595013
"cg24523322",-5.73130751463975e-05,0.794123366105024
"cg17094363",0.000273371447270666,0.55798159580594
"cg21775619",0.00207931875876136,0.0463400634050081
"cg01776299",-0.000490951545983274,0.779437520764042
"cg19925558",0.000786405260834646,0.438918030043588
"cg26570389",-0.0129497526438282,0.0367109998460201
"cg15207968",0.000754499865499683,0.187938429236486
"cg12658052",0.00560926390064332,0.0139046324694701
"cg14161399",0.00219930573780256,0.126519352622832
"cg25605174",0.00835504952310557,0.0043432210218468
"cg08886036",0.00722056475042131,0.000314663496758403
"cg00086243",-0.00191071421808929,0.454390033662336
"cg02709725",0.00333415585804477,0.112225180002877
"cg16266669",0.0013375179339271,0.291837766707509
"cg00062072",-0.00574849403319708,0.404139296630528
"cg12108798",0.0029340745167763,0.125799693908658
"cg17784606",0.00146605110967838,0.406450325615634
"cg15578176",0.000190013142770712,0.856691070865516
"cg15994839",-0.000686345381627361,0.360872363471559
"cg21396988",-0.0015120328025899,0.0905656480304473
"cg08160862",2.43447778497629e-05,0.93371413129048
"cg06377929",-0.000503394217209596,0.760352073482193
"cg18387631",-0.000910446260774313,0.374898846722812
"cg21124756",0.000924198336666987,0.13732369630721
"cg00088251",0.0116015948972101,9.77584331889218e-06
"cg14395520",-0.000578565224347937,0.65740981319649
"cg20681653",-0.000368714481726358,0.819139103663818
"cg27047577",-8.18528801910269e-05,0.75072745025678
"cg22497741",-0.000673544455993038,0.0860220994656961
"cg18114463",0.0015815253268775,0.115634425673367
"cg01229567",0.000572037038925965,0.867702478093415
